UNIQUEID,CENSUSYEAR,TRACT,BLOCKGROUP,FIPSID,TOTALPOPULATION,POPULATIONWHITE,POPULATIONBLACK,POPULATIONASIAN,POPULATIONOTHER,POPULATIONAMERICANINDIAN,POPULATIONPACIFICISLANDER,POPULATIONONERACE,POPULATIONMULTIRACE,POPULATION25OLDER,MEDIANAGE,MEDIANHOUSEHOLDINCOME,HIGHSCHOOLMALE,HIGHSCHOOLMOREMALE,COLLEGE1YRLESSMALE,COLLEGE1YRMOREMALE,ASSOCIATESDEGREEMALE,BACHELORSDEGREEMALE,MASTERSDEGREE MALE,PROFESSIONALDEGREEMALE,DOCTORALDEGREEMALE,HIGHSCHOOLFEMALE,HIGHSCHOOLMOREFEMALE,COLLEGE1YRLESSFEMALE,COLLEGE1YRMOREFEMALE,ASSOCIATESDEGREEFEMALE,BACHELORSDEGREEFEMALE,MASTERSDEGREEFEMALE,PROFESSIONALDEGREEFEMALE,DOCTORALDEGREEFEMALE,PERCENT25YROVERHIGH SCHOOLMORE,HOUSINGUNITS,OCCUPIEDHOUSINGUNITS,OWNEROCCUPIEDHOUSING,RENTEROCCUPIEDHOUSING,PERCENTOWNEROCCUPIED,PERCENTRENTEROCCUPIED,MEDIANHOUSEVALUEOWNEROCCUPIED,MEDIANYEARBUILT,VACANCYRATES
2.00E+15,2000,10,1,2.20E+11,587,107,474,0,1,0,,,,347,29.5,30109,71,104,,26,,,7,,,53,122,8,55,6,,,,,39%,242,209,108,101,52%,48%,"$43,300.00 ",1969,8.80%
2.00E+15,2000,10,2,2.20E+11,1088,71,994,4,1,0,,,,473,23.3,23472,76,124,11,31,6,,,,,73,166,,78,,6,9,,,27%,382,354,143,211,40%,60%,"$40,200.00 ",1967,8.80%
2.00E+15,2000,10,1,2.20E+11,1273,380,875,6,4,4,,,,699,33.2,17552,152,195,5,22,,11,5,,,199,313,37,58,,19,,,,40%,584,511,274,237,54%,46%,"$50,900.00 ",1966,12.50%
2.00E+15,2000,10,2,2.20E+11,1268,166,1094,1,0,0,,,,627,24,17076,52,118,21,37,,8,,,,108,256,19,82,12,17,18,,,29%,475,463,188,275,41%,59%,"$50,000.00 ",1969,21.70%
2.00E+15,2000,10,3,2.20E+11,676,91,557,17,0,1,,,,468,44.4,10854,59,154,24,63,8,,,,,47,95,12,25,,,11,,,37%,375,330,97,233,29%,71%,"$67,100.00 ",1981,17.90%
2.00E+15,2000,10,4,2.20E+11,997,109,883,0,2,2,,,,382,21.2,15573,57,64,,7,,,,,,114,122,,8,,,,,,19%,306,278,90,188,32%,68%,"$21,300.00 ",1955,0%
2.00E+15,2000,10,5,2.20E+11,1040,132,896,0,4,1,,,,606,27.9,23750,89,134,19,,,26,,,,144,264,57,38,,18,7,,,38%,393,369,193,176,52%,48%,"$43,600.00 ",1961,7.90%
2.00E+15,2000,10,6,2.20E+11,1226,263,905,0,18,3,,,,757,27.7,20046,132,218,8,69,,9,,,,163,242,8,45,9,5,,,12,38%,565,479,226,253,47%,53%,"$45,000.00 ",1964,3%
2.00E+15,2000,10,1,2.20E+11,1358,125,1223,0,7,2,,,,682,25.1,22227,72,216,9,129,,6,,,,183,271,46,42,,,,,,36%,474,435,250,185,57%,43%,"$44,500.00 ",1963,20%
2.00E+15,2000,10,2,2.20E+11,86,14,72,0,0,0,,,,47,40,48750,6,18,,12,,,,,,12,22,,10,,,,,,47%,36,22,22,,100%,,"$24,200.00 ",1947,0%
2.00E+15,2000,10,3,2.20E+11,545,52,485,7,1,0,,,,312,29.3,20288,30,53,4,14,,5,,,,67,124,3,20,,34,,,,32%,215,196,107,89,55%,45%,"$40,700.00 ",1954,13.60%
2.00E+15,2000,10,1,2.20E+11,1350,218,1101,20,2,0,,,,777,29.7,30788,138,238,23,57,2,12,6,,,214,331,19,66,,12,20,,,42%,471,429,323,106,75%,25%,"$52,500.00 ",1958,7.70%
2.00E+15,2000,10,2,2.20E+11,1063,98,945,8,2,2,,,,495,25.9,26466,77,130,,39,7,,7,,,78,201,19,68,4,29,3,,,31%,358,341,210,131,62%,38%,"$47,900.00 ",1966,15.40%
2.00E+15,2000,10,3,2.20E+11,908,119,767,6,3,0,,,,486,26.8,19453,66,88,,6,,10,6,,,110,192,14,50,11,7,,,,31%,319,276,144,132,52%,48%,"$46,500.00 ",1956,10.80%
2.00E+15,2000,10,1,2.20E+11,596,29,563,0,1,0,,,,304,26.7,17009,31,58,,19,8,,,,,67,77,5,5,,,,,,23%,241,218,81,137,37%,63%,"$35,900.00 ",1952,9.80%
2.00E+15,2000,10,2,2.20E+11,705,21,678,0,1,1,,,,405,28.8,23229,58,83,,13,,12,,,,57,158,5,77,,19,,,,34%,260,212,124,88,58%,42%,"$39,100.00 ",1965,2.60%
2.00E+15,2000,10,3,2.20E+11,590,12,564,7,1,0,,,,245,28,25625,49,71,8,8,6,,,,,47,91,13,24,,7,,,,27%,208,163,95,68,58%,42%,"$35,400.00 ",1961,16.10%
2.00E+15,2000,10,4,2.20E+11,1851,66,1775,1,1,0,,,,959,25.7,19511,168,252,8,70,,6,,,,169,377,33,91,8,55,,9,12,34%,670,579,259,320,45%,55%,"$38,600.00 ",1960,6.30%
2.00E+15,2000,10,5,2.20E+11,1018,44,927,28,2,0,,,,542,26.2,23864,66,162,6,75,8,7,,,,68,198,24,78,,28,,,,35%,378,324,135,189,42%,58%,"$36,800.00 ",1952,13%
2.00E+15,2000,10,1,2.20E+11,1170,96,1032,7,15,5,,,,618,28.4,16795,75,134,9,26,,19,5,,,80,240,38,84,6,24,8,,,32%,481,418,185,233,44%,56%,"$46,100.00 ",1967,11.10%
2.00E+15,2000,10,2,2.20E+11,1391,98,1286,0,1,1,,,,869,31.5,28043,133,259,28,55,5,38,,,,138,256,8,65,,28,17,,,37%,492,465,342,123,74%,26%,"$49,900.00 ",1961,4.30%
2.00E+15,2000,10,3,2.20E+11,1004,75,924,0,0,0,,,,451,25.5,16813,63,136,11,49,,13,,,,50,143,15,64,,14,,,,28%,384,347,195,152,56%,44%,"$47,800.00 ",1960,9.80%
2.00E+15,2000,10,1,2.20E+11,838,45,789,0,0,0,,,,472,27,20438,56,118,19,33,,,10,,,79,210,10,79,30,8,,4,,39%,322,273,158,115,58%,42%,"$50,500.00 ",1960,2.40%
2.00E+15,2000,10,2,2.20E+11,936,35,888,0,0,5,,,,451,28.5,25000,88,113,8,8,9,,,,,68,164,22,51,,11,12,,,30%,317,299,200,99,67%,33%,"$51,300.00 ",1962,16.70%
2.00E+15,2000,10,3,2.20E+11,688,10,677,0,0,0,,,,469,36.6,16811,53,69,3,5,,,,8,,86,138,7,31,,3,11,,,30%,311,260,76,184,29%,71%,"$39,600.00 ",1969,14.80%
2.00E+15,2000,10,4,2.20E+11,1124,22,1096,0,2,2,,,,665,34.9,19184,79,154,8,8,31,10,,18,,134,261,27,67,,15,15,3,,37%,410,395,300,95,76%,24%,"$47,300.00 ",1959,20%
2.00E+15,2000,10,5,2.20E+11,1070,1,1065,0,1,2,,,,675,35.5,28375,92,144,12,30,,,10,,,131,203,,39,,17,16,,,32%,360,362,275,87,76%,24%,"$51,600.00 ",1954,10.50%
