OBJECTID,STATE,COUNTY,TRACT,SUM_POP100,SUM_HU100,SUM_TotPop,SUM_HispPop,SUM_NonHispPop,SUM_NHOneRace,SUM_NH_White,SUM_NH_Black,SUM_NH_AmInd,SUM_NH_Asian,SUM_NH_HawPacI,SUM_NH_Other,SUM_NH_2orMore,SUM_VAP_TotPop,SUM_VAP_HispPo,SUM_VAP_NonHis,SUM_VAP_NHOneR,SUM_VAP_NH_Whi,SUM_VAP_NH_Bla,SUM_VAP_NH_AmI,SUM_VAP_NH_Asi,SUM_VAP_HawPac,SUM_VAP_NH_Oth,SUM_VAP_NH_2or,SUM_TotHousing,SUM_OccHU,SUM_VacantHU,Shapearea,Shapelen
208,48,201,300000,4690,2322,4690,1070,3620,3581,2082,1047,22,134,1,295,39,4560,1032,3528,3497,2041,1014,22,126,1,293,31,2322,1737,585,41849144.97,30733.08191
1067,48,407,300000,6336,2658,6336,723,5613,5512,4764,652,39,53,1,3,101,4565,410,4155,4109,3518,516,32,40,1,2,46,2658,2238,420,2800358841,341580.37
1068,48,407,300000,10069,4149,10069,1676,8393,8261,7498,692,34,28,2,7,132,7323,947,6376,6292,5692,546,27,23,2,2,84,4149,3533,616,7134539293,491188.5185
1069,48,407,300000,5001,3074,5001,282,4719,4653,3929,664,23,32,4,1,66,3931,186,3745,3712,3201,474,20,15,2,0,33,3074,2059,1015,2901465252,419905.2064
1070,48,407,300000,4978,3306,4978,199,4779,4701,4013,654,24,7,2,1,78,4239,150,4089,4030,3519,482,19,7,2,1,59,3306,2266,1040,4672260085,360022.4825
209,48,201,300000,9652,87,9652,1788,7864,7845,2893,4881,3,58,0,10,19,9469,1747,7722,7704,2839,4795,3,57,0,10,18,87,72,15,7482126.178,14983.40486
210,48,201,300000,5328,1801,5328,4025,1303,1278,332,904,9,23,1,9,25,3643,2767,876,866,294,539,9,18,1,5,10,1801,1593,208,19524868.86,20724.77434
211,48,201,300000,4882,1693,4882,4096,786,777,225,535,6,6,0,5,9,3474,2863,611,605,195,395,6,6,0,3,6,1693,1504,189,23158619.88,20996.58576
212,48,201,300000,5497,2259,5497,4378,1119,1089,935,96,14,36,1,7,30,4209,3204,1005,980,851,75,13,33,1,7,25,2259,2037,222,25115941.38,20320.65117
213,48,201,300000,2485,865,2485,1891,594,583,85,489,3,3,2,1,11,1761,1288,473,467,70,388,3,3,2,1,6,865,754,111,12179566.86,15142.74147
214,48,201,300000,2753,1106,2753,1728,1025,1013,51,953,3,1,0,5,12,1947,1113,834,824,37,784,1,1,0,1,10,1106,891,215,39371982.02,33508.82976
215,48,201,300000,1620,731,1620,362,1258,1253,35,1195,3,20,0,0,5,1247,221,1026,1023,31,971,3,18,0,0,3,731,598,133,13596246.86,15054.17942
216,48,201,300000,2039,893,2039,570,1469,1456,38,1387,2,23,0,6,13,1527,362,1165,1156,35,1103,2,12,0,4,9,893,777,116,12082672.37,15298.65305
217,48,201,300000,6004,2356,6004,3156,2848,2816,52,2732,17,8,5,2,32,4223,2010,2213,2190,42,2119,16,8,3,2,23,2356,1954,402,25690923.01,24593.5237
218,48,201,300000,2831,1383,2831,951,1880,1866,29,1821,4,9,1,2,14,2100,621,1479,1465,25,1429,3,5,1,2,14,1383,1087,296,18336826.01,20412.92411
219,48,201,300000,5046,2385,5046,1401,3645,3611,113,3484,3,0,1,10,34,3577,868,2709,2689,100,2578,3,0,1,7,20,2385,1858,527,29532863.08,24877.50836
220,48,201,300000,3690,1537,3690,1310,2380,2362,288,1986,12,70,5,1,18,2526,836,1690,1678,271,1336,7,61,2,1,12,1537,1316,221,40276509.88,30026.77537
221,48,201,300000,6907,2116,6907,6363,544,534,270,241,6,11,2,4,10,4733,4318,415,406,206,184,5,7,2,2,9,2116,1898,218,65118647.08,35930.36152
222,48,201,300000,2811,1168,2811,2293,518,513,100,392,11,6,0,4,5,1984,1572,412,408,83,308,8,5,0,4,4,1168,858,310,12531914.09,14501.11621
223,48,201,300000,3886,1653,3886,1205,2681,2652,42,2587,10,5,2,6,29,2852,779,2073,2054,35,2006,5,3,2,3,19,1653,1408,245,47852280.38,32876.30088
224,48,201,300000,5225,1567,5225,5057,168,166,124,23,6,9,0,4,2,3526,3388,138,136,110,15,5,4,0,2,2,1567,1417,150,13425311.87,15360.37003
225,48,201,300000,5381,2066,5381,4808,573,560,288,245,9,15,0,3,13,3851,3353,498,490,258,207,9,14,0,2,8,2066,1699,367,35076946.75,25964.73758
226,48,201,300000,3216,1042,3216,2919,297,292,82,186,12,7,0,5,5,2254,1995,259,255,77,157,11,7,0,3,4,1042,938,104,87617983.06,56233.50163
227,48,201,300000,3610,1566,3610,1015,2595,2563,40,2504,4,8,1,6,32,2810,655,2155,2131,32,2087,4,3,0,5,24,1566,1394,172,123044360.8,76367.78401
228,48,201,300000,2097,725,2097,1038,1059,1047,39,996,9,1,0,2,12,1447,647,800,792,22,761,7,1,0,1,8,725,633,92,19189062.97,18723.09118
229,48,201,300000,3030,1016,3030,2799,231,229,187,36,5,1,0,0,2,2152,1944,208,206,174,28,3,1,0,0,2,1016,906,110,15879332.03,19925.07741
230,48,201,300000,4509,1421,4509,4077,432,427,348,55,2,15,0,7,5,3132,2753,379,377,313,45,2,12,0,5,2,1421,1298,123,21316693.2,19633.67622
231,48,201,300000,5021,1489,5021,4507,514,503,298,191,4,9,0,1,11,3325,2931,394,387,266,111,2,7,0,1,7,1489,1353,136,20515245.18,19151.05789
232,48,201,300000,4288,1943,4288,3149,1139,1116,585,508,3,19,0,1,23,3310,2238,1072,1053,543,487,3,19,0,1,19,1943,1820,123,25849625.63,26146.32098
233,48,201,300000,3894,1149,3894,2937,957,952,244,694,6,5,1,2,5,2469,1912,557,555,197,346,4,5,1,2,2,1149,1051,98,17874199.58,18381.01154
234,48,201,300000,6317,2086,6317,4482,1835,1815,201,1571,10,25,0,8,20,4198,2878,1320,1307,171,1113,9,12,0,2,13,2086,1866,220,44795188.04,29615.47281
235,48,201,300000,3289,1235,3289,1575,1714,1702,69,1612,6,12,0,3,12,2118,923,1195,1189,63,1111,3,9,0,3,6,1235,1084,151,19355333.54,20412.2525
236,48,201,300000,1852,550,1852,1499,353,346,49,276,3,15,0,3,7,1213,977,236,233,46,169,2,13,0,3,3,550,480,70,17007993.63,19441.19032
237,48,201,300000,4037,1187,4037,3148,889,873,326,528,1,7,0,11,16,2679,1993,686,675,284,379,1,5,0,6,11,1187,974,213,26813762.35,24739.04589
238,48,201,300000,3598,1046,3598,3203,395,394,314,42,5,29,0,4,1,2377,2044,333,332,270,31,5,25,0,1,1,1046,940,106,32973431.42,25129.73219
239,48,201,300000,5994,1699,5994,5184,810,796,690,91,6,5,2,2,14,4047,3347,700,690,608,69,6,5,1,1,10,1699,1579,120,26911342,21611.71952
240,48,201,300000,8593,2443,8593,7718,875,851,700,109,7,24,3,8,24,5731,4980,751,737,621,84,4,23,3,2,14,2443,2254,189,36933909.36,25041.78921
241,48,201,300000,6137,1988,6137,5470,667,648,468,161,4,9,0,6,19,4054,3490,564,557,424,117,4,9,0,3,7,1988,1734,254,21730201.92,19338.65562
242,48,201,300000,8259,2574,8259,6340,1919,1891,583,1257,3,33,1,14,28,5503,4089,1414,1394,513,837,3,32,1,8,20,2574,2377,197,24330986.84,21008.94394
243,48,201,300000,9217,2584,9217,7551,1666,1633,1385,154,2,77,0,15,33,6182,4710,1472,1455,1267,114,2,62,0,10,17,2584,2427,157,62040738.66,34013.54142
244,48,201,300000,8245,2247,8245,7326,919,903,690,60,8,136,1,8,16,5257,4472,785,777,611,49,8,101,1,7,8,2247,2066,181,57359483.5,32991.39978
245,48,201,300000,4285,1206,4285,3913,372,371,347,15,1,6,1,1,1,2672,2352,320,319,298,14,1,5,1,0,1,1206,1086,120,33837152.02,26797.91629
246,48,201,300000,4888,1339,4888,4396,492,488,410,62,7,6,0,3,4,3117,2705,412,409,347,51,4,5,0,2,3,1339,1209,130,28662645.17,24064.98426
247,48,201,300000,2507,603,2507,2156,351,339,214,117,7,1,0,0,12,1738,1426,312,303,194,103,5,1,0,0,9,603,574,29,12318984.1,16447.60573
248,48,201,300000,5621,1506,5621,4954,667,650,502,108,10,23,0,7,17,3697,3157,540,533,419,82,9,20,0,3,7,1506,1395,111,24406248.2,23113.28242
249,48,201,300000,3726,1075,3726,3122,604,578,271,290,3,5,0,9,26,2505,2020,485,472,224,234,3,5,0,6,13,1075,977,98,32139629.12,24479.52796
250,48,201,300000,4512,1251,4512,3777,735,714,475,182,3,53,0,1,21,2915,2310,605,594,396,150,3,45,0,0,11,1251,1144,107,53764030.34,37840.92254
251,48,201,300000,3701,1072,3701,3103,598,588,437,34,3,111,0,3,10,2480,1973,507,503,387,27,3,86,0,0,4,1072,967,105,54531820.76,40944.04427
252,48,201,300000,5906,1632,5906,4828,1078,1043,683,288,8,60,0,4,35,3838,2974,864,853,585,210,6,50,0,2,11,1632,1500,132,44051565.92,28352.64005
253,48,201,300000,2860,874,2860,2510,350,345,168,156,0,17,3,1,5,1944,1656,288,284,157,112,0,11,3,1,4,874,756,118,9787799.46,13373.30715
254,48,201,300000,4025,1083,4025,3269,756,733,563,146,1,23,0,0,23,2681,2056,625,609,486,101,1,21,0,0,16,1083,1042,41,36679240.93,31006.58451
255,48,201,300000,6614,1970,6614,5818,796,779,321,424,4,25,1,4,17,4371,3737,634,621,291,300,3,24,1,2,13,1970,1718,252,18377773.85,17484.5679
256,48,201,300000,4947,2127,4947,4053,894,881,106,739,5,27,1,3,13,3305,2578,727,719,94,599,2,22,1,1,8,2127,1707,420,28130167.67,26236.81627
257,48,201,300000,5175,2239,5175,1225,3950,3919,359,3538,1,18,1,2,31,3255,757,2498,2474,330,2127,1,15,1,0,24,2239,2024,215,76027589.57,58253.43896
258,48,201,300000,3561,970,3561,2930,631,611,483,42,1,66,0,19,20,2248,1726,522,513,418,29,1,56,0,9,9,970,894,76,72467105.56,35215.02422
259,48,201,300000,7848,2200,7848,6300,1548,1498,709,707,6,73,0,3,50,5353,4094,1259,1220,608,540,5,65,0,2,39,2200,2062,138,62676592.9,34915.64127
260,48,201,300000,3591,1058,3591,2689,902,885,265,596,4,17,0,3,17,2330,1678,652,640,238,382,4,16,0,0,12,1058,908,150,33792849.17,26267.18084
261,48,201,300000,3985,1196,3985,3370,615,599,203,358,2,25,0,11,16,2618,2101,517,503,182,295,0,22,0,4,14,1196,1073,123,7968932.479,11439.22565
262,48,201,300000,2111,626,2111,1569,542,538,375,147,1,12,0,3,4,1386,942,444,440,309,119,1,11,0,0,4,626,572,54,51476962.18,35270.4359
263,48,201,300000,1705,688,1705,311,1394,1384,19,1363,1,0,0,1,10,1155,182,973,963,18,943,1,0,0,1,10,688,597,91,14563719.73,15270.02618
264,48,201,300000,5054,2124,5054,638,4416,4374,112,4235,4,10,0,13,42,3774,383,3391,3362,91,3249,3,10,0,9,29,2124,1838,286,83763484.29,43996.76014
265,48,201,300000,1803,876,1803,418,1385,1369,28,1339,1,0,0,1,16,1326,227,1099,1086,24,1061,0,0,0,1,13,876,678,198,18773139.24,19986.79734
266,48,201,300000,3719,1524,3719,1772,1947,1929,52,1869,4,2,1,1,18,2659,1099,1560,1546,45,1493,4,2,1,1,14,1524,1251,273,30931232.2,24451.09845
267,48,201,300000,4174,1245,4174,3312,862,843,145,678,3,10,1,6,19,2871,2166,705,694,125,556,2,10,1,0,11,1245,1131,114,35662692.97,36840.83459
268,48,201,300000,2572,1022,2572,881,1691,1674,37,1624,5,7,0,1,17,1899,556,1343,1335,33,1289,5,7,0,1,8,1022,860,162,23315500.65,25757.04963
269,48,201,300000,2651,1145,2651,630,2021,2001,34,1960,2,0,1,4,20,1839,375,1464,1449,32,1413,2,0,1,1,15,1145,913,232,29039437.9,29374.0769
270,48,201,300000,2805,1012,2805,637,2168,2161,44,2108,1,1,0,7,7,2105,385,1720,1716,38,1670,1,1,0,6,4,1012,910,102,19929526.04,20866.22645
271,48,201,300000,4231,1717,4231,764,3467,3432,72,3353,6,0,0,1,35,3003,461,2542,2526,66,2454,5,0,0,1,16,1717,1496,221,68439416.01,33165.47291
272,48,201,300000,4282,1499,4282,1476,2806,2773,130,2621,11,8,0,3,33,3103,913,2190,2168,117,2034,7,7,0,3,22,1499,1335,164,44412854.26,31264.2511
273,48,201,300000,4729,1445,4729,2759,1970,1953,295,1632,10,6,2,8,17,3209,1735,1474,1467,261,1181,9,6,2,8,7,1445,1290,155,120318973.4,49840.35937
274,48,201,300000,6698,2228,6698,1788,4910,4881,146,4712,12,8,0,3,29,4300,1056,3244,3234,121,3096,10,5,0,2,10,2228,2036,192,150342756.9,60808.54348
275,48,201,300000,4254,1628,4254,837,3417,3392,97,3282,5,1,1,6,25,3040,501,2539,2525,91,2425,2,1,1,5,14,1628,1410,218,51787658.81,33234.52408
276,48,201,300000,2379,958,2379,108,2271,2255,18,2231,2,2,0,2,16,1921,60,1861,1849,15,1829,1,2,0,2,12,958,905,53,36192290.2,30715.81655
277,48,201,300000,2706,1075,2706,202,2504,2494,20,2466,1,4,0,3,10,2063,124,1939,1931,14,1912,1,2,0,2,8,1075,949,126,12479327.06,16472.71384
278,48,201,300000,2822,1087,2822,472,2350,2332,43,2276,9,3,0,1,18,2179,289,1890,1880,39,1830,7,3,0,1,10,1087,998,89,17916434.17,19338.13011
279,48,201,300000,3867,1108,3867,3391,476,469,319,132,3,8,0,7,7,2427,2055,372,368,263,92,2,8,0,3,4,1108,977,131,45730364.81,32229.85997
280,48,201,300000,2764,889,2764,1578,1186,1178,97,1069,6,6,0,0,8,1963,989,974,967,86,872,4,5,0,0,7,889,835,54,30384018.52,25156.97347
281,48,201,300000,6292,2218,6292,1705,4587,4555,245,4265,18,21,0,6,32,4667,1018,3649,3625,207,3384,11,19,0,4,24,2218,2083,135,97319955.1,44030.15571
282,48,201,300000,4050,1300,4050,2211,1839,1825,181,1623,0,16,0,5,14,2834,1304,1530,1522,165,1341,0,13,0,3,8,1300,1199,101,177184783.4,60514.55961
283,48,201,300000,2869,1097,2869,1702,1167,1149,258,876,7,5,0,3,18,1954,1076,878,869,226,632,7,4,0,0,9,1097,836,261,34818833.08,28699.18954
284,48,201,300000,9437,3769,9437,3795,5642,5519,3618,1437,28,411,7,18,123,6588,2307,4281,4213,2793,1081,23,300,6,10,68,3769,3387,382,212380261.1,85476.68331
285,48,201,300000,8913,2809,8913,5395,3518,3472,1252,2148,19,32,3,18,46,5465,3087,2378,2349,983,1314,15,23,3,11,29,2809,2480,329,278646074.6,94240.10617
286,48,201,300000,9020,2760,9020,4544,4476,4429,773,3554,10,76,0,16,47,5776,2653,3123,3093,627,2392,7,61,0,6,30,2760,2568,192,128805179.1,51125.0322
287,48,201,300000,7415,2267,7415,3957,3458,3390,1363,1640,11,363,1,12,68,5001,2397,2604,2561,1124,1157,10,263,1,6,43,2267,2116,151,156036315.5,66383.30878
288,48,201,300000,3714,1283,3714,1851,1863,1830,262,1461,14,87,1,5,33,2560,1192,1368,1346,220,1033,11,79,1,2,22,1283,1147,136,16025204.19,16217.02256
289,48,201,300000,4165,1456,4165,2421,1744,1703,275,1349,0,69,0,10,41,2823,1536,1287,1265,240,962,0,58,0,5,22,1456,1234,222,23366312.73,20676.38552
290,48,201,300000,3135,865,3135,2109,1026,1014,407,582,9,11,0,5,12,2300,1464,836,830,373,440,6,8,0,3,6,865,797,68,124157968.4,57391.891
291,48,201,300000,3000,913,3000,2308,692,675,432,225,3,3,0,12,17,2137,1553,584,569,380,178,3,3,0,5,15,913,884,29,65877528.45,36755.41887
292,48,201,300000,7235,2589,7235,4846,2389,2335,304,1971,7,47,0,6,54,4754,3052,1702,1675,251,1369,5,45,0,5,27,2589,2146,443,50243925.85,32780.70177
