City,Tract,Population,Male,Female,Under_5_years,5_to_9_years,10_to_14_years,15_to_19_years,20_to_24_years,25_to_34_years,35_to_44_years,45_to_54_years,55_to_59_years,60_to_64_years,65_to_74_years,75_to_84_years,85_years_and_over,Less_than_18_years,18_to_64_years,65_years_and_over,Married_Couple,Male_Head,Female_Head,Non_Family,High_School_Graduate,Bachelor_Degree_or_Higher,Own,Rent,Median_Household_Income,Persons_Below_Poverty_Level_Income,Drove_Alone,Carpooled,Public_Transportation,Work_at_Home,Mean_Travel_Time_(minutes),No_Vehicle,1_Vehicle,2_Vehicles,3+_Vehicles,White,Black,Hispanic,American_Indian,Asian,Pacific_Islander,Other,More_than_one_race,English_Only,Other_than_English,Speak_English_less_than_very_well,Spanish_-_Speak_English_less_than_very_well,With_a_Disability,Under_18_w/Disability,18_to_64_w/Disability,65_and_over_w/Disability,Location_1
Henderson,10,6815,50.50%,49.50%,6.40%,6.70%,8.60%,7.10%,7.70%,13.30%,14.30%,13.40%,8%,3%,5.40%,4.40%,1.70%,27%,61.50%,11.50%,47.50%,10.30%,21.10%,21.20%,71.80%,6.90%,70%,30%,"$47,936.00 ",17.90%,72%,15.50%,5.40%,3.50%,23.9,4%,39.40%,30.10%,26.40%,22.20%,14.20%,56%,3%,2%,0.60%,0.50%,1.50%,51.40%,48.60%,21.70%,21.10%,13.40%,2.90%,12.70%,41.90%,"(36.182170399999997, -115.19199759999999)"
Henderson,10,6068,53.30%,46.70%,6.70%,6.90%,9.10%,10.50%,7.70%,18.70%,15.50%,9.70%,6.50%,1.80%,3.30%,3.10%,0.40%,28.70%,64.40%,6.90%,30.40%,12.60%,25.50%,31.40%,66.60%,8.40%,37.80%,62.20%,"$35,976.00 ",18.40%,69.60%,17.40%,6.40%,2.40%,24.7,17.10%,40.20%,28.50%,14.20%,20.70%,6.80%,61.90%,0.70%,5.30%,0%,0.30%,4.30%,39%,61%,32.50%,29.10%,10.80%,2.50%,13%,24.60%,"(36.162790700000002, -115.2329507)"
Henderson,10,4091,51.60%,48.40%,6.80%,8.10%,5.60%,7.20%,10.50%,10.80%,14.30%,16.40%,6%,3.20%,4.70%,4.30%,2.20%,24.80%,64.10%,11.10%,45.50%,11.70%,19.10%,23.70%,63.10%,8%,67.40%,32.60%,"$42,232.00 ",23.40%,71.10%,21.80%,0.50%,1.70%,19.4,4.70%,26.30%,43.90%,25.20%,35.90%,3.50%,54%,0.20%,3.60%,0%,0%,2.80%,50%,50%,21.30%,18.30%,12.90%,1.10%,14.30%,31.10%,"(36.1667579, -115.19900459999999)"
Henderson,10,4642,49.40%,50.60%,4.30%,4.20%,3%,8.60%,6.70%,12.20%,7%,18.30%,5.60%,5.20%,13.10%,8.30%,3.50%,15.80%,59.30%,24.90%,33.20%,3.50%,3.10%,60.30%,77.10%,14.60%,39%,61%,"$31,826.00 ",17.70%,79.70%,7.20%,3.20%,5.20%,22.5,26.20%,38.50%,28.10%,7.10%,42.90%,11.30%,31.90%,3.60%,9.20%,0%,0%,1.10%,60.10%,39.90%,17.40%,14.80%,17.70%,2.80%,10.10%,45.30%,"(36.1700023, -115.2150358)"
Henderson,10,3875,50.50%,49.50%,6.30%,6%,5.70%,6.50%,13%,10.70%,11%,12.80%,4.70%,3.40%,11.20%,6.20%,2.50%,20.10%,60%,19.90%,35.70%,10.10%,13%,41.20%,79.20%,5.80%,31.40%,68.60%,"$41,143.00 ",9.60%,64.10%,19%,5.70%,1.90%,23.3,15%,54.20%,19.50%,11.30%,36.60%,11.40%,40.70%,0%,6.30%,2.50%,0.20%,2.30%,60.50%,39.50%,19.70%,18%,18.60%,4.20%,14.30%,46.10%,"(36.1626507, -115.2149034)"
Henderson,10,3809,55.80%,44.20%,10.10%,10.70%,9%,6.80%,4.50%,12.90%,13.20%,11.20%,6.90%,5.60%,6.40%,2.40%,0.20%,35.10%,55.80%,9.10%,41.90%,17.90%,16.10%,24.20%,54.50%,4.20%,50%,50%,"$36,869.00 ",27.20%,65.80%,17.10%,10.50%,4.30%,25,16.40%,37.20%,29.20%,17.30%,23%,3.90%,72.20%,0%,1%,0%,0%,0%,40%,60%,34.30%,33.50%,20.30%,5.10%,23.90%,57.30%,"(36.182238300000002, -115.2097732)"
Henderson,10,4018,53%,47%,4.90%,5.60%,9.70%,4.20%,8.60%,11%,19.80%,16.10%,4.20%,3.70%,9.20%,1.70%,1.30%,22.40%,65.40%,12.20%,43.60%,8.80%,17.40%,30.20%,73.20%,14.40%,70.60%,29.40%,"$53,502.00 ",14.20%,71.90%,18.40%,4.10%,0.80%,22.8,6.50%,36.20%,36.30%,21%,36.90%,6.80%,39.10%,4.20%,6.40%,1.90%,0%,4.70%,54.50%,45.50%,21.70%,18.80%,13.10%,1.90%,12%,39.80%,"(36.177369599999999, -115.21698840000001)"
Henderson,10,4772,49.90%,50.10%,8.60%,10.50%,5.50%,3.60%,2.80%,19.80%,13.90%,12.40%,2.60%,5.40%,7.80%,6.20%,0.90%,27.40%,57.70%,14.90%,40.50%,14.20%,12.40%,32.90%,69.40%,9.20%,43.30%,56.70%,"$29,602.00 ",36.10%,75.80%,15.50%,7.20%,0.70%,28.5,12.40%,40.70%,28.40%,18.50%,10.10%,36.40%,47%,0%,3.80%,0%,0.50%,2.10%,55.40%,44.60%,21.90%,21.60%,13.70%,7.50%,4.60%,60.10%,"(36.182331099999999, -115.1694498)"
Henderson,10,3934,47.70%,52.30%,8.30%,4.50%,5.80%,7.80%,7.10%,15.40%,12.80%,12.90%,5.70%,7.20%,8.80%,2.30%,1.40%,23%,64.40%,12.60%,25.60%,6.60%,16.60%,51.20%,73.90%,17.20%,28.70%,71.30%,"$36,276.00 ",27.10%,68.90%,13.70%,7.10%,1.20%,19.8,18.30%,48.10%,26.40%,7.10%,33.60%,15%,40.70%,1.20%,6.80%,0%,0.60%,2.20%,55.70%,44.30%,20.80%,15%,11.40%,0.30%,10.20%,43.50%,"(36.167402000000003, -115.1668323)"
Henderson,10,802,48.90%,51.10%,5.10%,2.60%,6.60%,7.20%,0%,5.90%,15.80%,10.90%,2.80%,7.90%,18.60%,7.30%,9.30%,16.70%,48.10%,35.20%,42.50%,9.40%,11.50%,36.50%,78.50%,20.80%,72.70%,27.30%,"$65,268.00 ",14%,76.20%,21.80%,0%,2.10%,20.5,8.90%,27.60%,43.80%,19.70%,62.70%,7.80%,17.40%,1.30%,8.50%,0.60%,0%,1.70%,75.70%,24.30%,6.50%,1.20%,21.40%,0%,14.40%,43%,"(36.152486099999997, -115.1667996)"
