OBJECTID,City,GEOID10,SUMLEV,STATE,COUNTY,TRACT,BLKGRP,BLOCK,LOGRECNO,PopulationTotal,TotalMale,TotalFemale,AgeMedian,AgeMedianMale,AgeMedianFemale,RaceWhite,RaceAfricanAmerican,RaceNativeAmerican,RaceAsian,RacePacificIslander,RaceOther,RaceMixed,EthnicityHispanic,HouseholdCount,HouseholdAverageSize,FamilyCount,FamilyAverageSize,HousingCount,HousingOccupied,HousingVacant
1,Seattle,5.31E+14,750,53,45,60000,0,0,142248,1928,1543,385,31.8,30.9,37.8,1469,126,54,59,11,132,77,658,427,1.55,133,2.3,636,427,209
2,Seattle,5.31E+14,750,53,45,60000,0,0,142252,4106,1960,2146,46.2,42.9,49.4,3616,121,39,108,12,36,174,171,1816,2.19,1009,2.8,2054,1816,238
3,Seattle,5.31E+14,750,53,45,60000,0,0,142256,3896,1931,1965,41.8,40.7,42.7,3484,82,20,68,5,27,210,180,1652,2.36,1090,2.84,1746,1652,94
4,Seattle,5.31E+14,750,53,45,60000,0,0,142262,3923,1883,2040,44.1,43.1,44.8,3500,55,20,140,5,32,171,163,1654,2.37,1064,2.85,1758,1654,104
5,Seattle,5.31E+14,750,53,45,60000,0,0,142268,5262,2491,2771,39.2,39.2,39.2,4504,231,55,140,8,52,272,234,2570,2.04,1230,2.82,2851,2570,281
6,Seattle,5.31E+14,750,53,45,60000,0,0,142275,6523,3073,3450,26.1,27.4,24.9,5563,164,53,217,28,93,405,307,2297,2.41,1149,2.81,2471,2297,174
7,Seattle,5.31E+14,750,53,45,60000,0,0,142282,4940,2366,2574,39.6,37.7,41.2,4359,103,31,107,9,84,247,237,2128,2.32,1274,2.85,2243,2128,115
8,Seattle,5.31E+14,750,53,45,60000,0,0,142290,3043,1401,1642,48.8,44.7,51.8,2461,172,19,176,15,29,171,126,1363,2.22,838,2.8,1440,1363,77
9,Seattle,5.31E+14,750,53,45,60000,0,0,142294,5015,2377,2638,36.1,34.8,37.8,3971,337,53,199,10,77,368,335,2243,2.23,1287,2.88,2383,2243,140
10,Seattle,5.31E+14,750,53,45,60000,0,0,142299,6359,2816,3543,47.5,44.3,50.1,4915,486,55,344,43,124,392,378,3026,2.04,1585,2.76,3216,3026,190
11,Seattle,5.31E+14,750,53,45,60000,0,0,142305,2045,1012,1033,45.8,41.3,50,1602,173,19,83,8,22,138,111,873,2.21,549,2.75,918,873,45
12,Seattle,5.31E+14,750,53,45,60000,0,0,142308,3791,1771,2020,48.1,46,49.8,3175,158,23,241,14,22,158,163,1742,2.12,1009,2.75,1891,1742,149
13,Seattle,5.31E+14,750,53,45,60000,0,0,142312,4187,2093,2094,38.9,36.6,42.1,2904,473,55,298,32,107,318,275,2152,1.93,931,2.78,2362,2152,210
